personID	apperanceDuration	start_time	start_frame	end_frame
1	2	1	1	40
2	3	1	1	59
3	1	1	9	21
4	3	3	56	110
5	3	6	135	204
6	3	7	163	232
7	2	8	181	211
8	2	12	286	328
9	3	18	438	490
10	4	19	466	555
11	2	24	578	625
12	2	27	661	696
13	2	33	817	850
14	2	37	904	950
15	3	40	989	1042
16	2	44	1092	1128
17	2	44	1092	1128
18	1	55	1366	1382
19	1	64	1591	1612
20	2	69	1711	1759
21	2	75	1851	1884
22	3	78	1945	1999
23	1	83	2061	2081
24	4	87	2156	2236
25	2	97	2408	2453
26	4	108	2685	2764
27	35	112	2793	3655
28	3	113	2816	2867
29	1	128	3185	3188
30	3	137	3402	3457
31	1	137	3403	3406
32	1	137	3407	3427
33	2	137	3423	3468
34	2	139	3471	3509
35	3	141	3525	3584
36	1	142	3539	3553
37	0	143	3555	3555
38	2	145	3606	3634
39	29	148	3683	4400
40	1	151	3752	3767
41	1	153	3812	3830
42	2	155	3854	3890
43	3	157	3909	3971
44	3	158	3945	4010
45	3	164	4076	4139
46	2	164	4089	4126
47	2	165	4121	4158
48	2	167	4152	4178
49	2	172	4293	4339
50	1	177	4402	4406
51	2	196	4895	4943
52	2	198	4932	4975
53	3	200	4980	5036
54	1	200	4986	5000
55	2	201	5010	5048
56	2	202	5044	5091
57	2	203	5060	5094
58	2	204	5081	5128
59	2	207	5151	5181
60	1	210	5226	5227
61	3	210	5227	5282
62	2	210	5237	5287
63	3	212	5287	5352
64	2	213	5318	5353
65	3	215	5363	5429
66	3	218	5440	5501
67	2	218	5447	5476
68	1	221	5511	5531
69	2	228	5687	5732
70	7	237	5918	6083
71	2	237	5924	5974
72	3	242	6042	6096
73	3	242	6043	6100
